clusters8,Features8,weights
0,purchase,0.3074295390327661
0,equipment,0.24295378167001666
0,new,0.0944723626278356
0,community,0.06319848431325907
0,provide,0.059465501922681824
1,community,0.2977787438939014
1,life,0.26951559325537555
1,impact,0.2596413096272676
1,initiative,0.25435614116895033
1,help,0.22433719280480094
2,program,0.09739921490815684
2,support,0.09254388510218604
2,develop,0.06601652908013511
2,community,0.0657942212313834
2,provide,0.058271239479324013
3,capacity,0.4384431392369773
3,organization,0.15635665441992738
3,increase,0.13768334091799314
3,build,0.13260484298495506
3,program,0.07374204124894236
4,youth,0.3746801990200657
4,child,0.15523212868772562
4,program,0.13130228587494308
4,skill,0.10289088006758296
4,support,0.09856561209996527
5,safety,0.5265233009466627
5,improve,0.1170757218602334
5,equipment,0.10263302146900864
5,purchase,0.07925062155472275
5,increase,0.07306197144585114
6,facility,0.13574043589140505
6,community,0.13455942881590274
6,accessible,0.10512547198877767
6,make,0.09375357735297593
6,renovate,0.08511459598862887
7,heritage,0.4662076330301368
7,art,0.2894644034657867
7,culture,0.2799815419859066
7,life,0.2417182008849316
7,cultural,0.14209166239213233
